Date,Open,High,Low,Close,Adj Close,Volume
2000-03-30,5.564440,5.564440,5.564440,5.564440,4.154284,245689
2000-03-31,5.949080,5.949080,5.205450,5.308020,3.962847,8926559
2000-04-03,5.308020,5.308020,5.308020,5.308020,3.962847,0
2000-04-04,5.308020,5.308020,5.308020,5.308020,3.962847,0
2000-04-05,4.872090,5.128520,4.743880,4.820810,3.599107,1431213
2000-04-06,4.872090,4.872090,4.564380,4.615660,3.445947,1451921
2000-04-07,4.615660,4.615660,4.384880,4.410520,3.292794,2187775
2000-04-10,4.615660,4.897730,4.590020,4.897730,3.656534,1852388
2000-04-11,5.231090,5.231090,5.231090,5.231090,3.905414,792841
2000-04-12,5.590080,5.590080,5.590080,5.590080,4.173426,851256
2000-04-13,5.974720,5.974720,5.974720,5.974720,4.460590,1363708
2000-04-14,5.974720,5.974720,5.974720,5.974720,4.460590,0
2000-04-17,6.410650,6.667070,6.282430,6.282430,4.690319,2449052
2000-04-18,6.410650,6.513220,5.897790,6.026000,4.498874,2764932
2000-04-19,6.051650,6.077290,5.718300,5.769580,4.307436,1950272
2000-04-20,5.641370,6.154220,5.513150,6.026000,4.498874,1778292
2000-04-21,6.128580,6.205500,5.897790,6.000370,4.479739,1423457
2000-04-24,6.000370,6.051650,5.615720,5.743940,4.288294,752654
2000-04-25,5.743940,5.743940,5.436230,5.615720,4.192568,846249
2000-04-26,5.256730,5.667010,5.231090,5.231090,3.905414,873547
2000-04-27,4.949020,5.308020,4.897730,5.000300,3.733110,1103633
2000-04-28,5.000300,5.102870,4.897730,5.102870,3.809686,945369
2000-05-01,5.102870,5.102870,5.102870,5.102870,3.809686,0
2000-05-02,5.128520,5.333650,5.128520,5.205450,3.886271,616163
2000-05-03,5.128520,5.231090,4.923370,5.128520,3.828836,508779
2000-05-04,5.128520,5.128520,5.000300,5.128520,3.828836,402623
2000-05-05,5.128520,5.205450,5.051590,5.179800,3.867121,428974
2000-05-08,5.256730,5.308020,5.128520,5.205450,3.886271,584965
2000-05-09,5.205450,5.205450,5.205450,5.205450,3.886271,0
2000-05-10,5.205450,5.231090,5.128520,5.205450,3.886271,386077
2000-05-11,5.128520,5.179800,5.128520,5.128520,3.828836,464072
2000-05-12,5.128520,5.256730,5.128520,5.231090,3.905414,448473
2000-05-15,5.231090,5.231090,5.231090,5.231090,3.905414,0
2000-05-16,5.820870,5.974720,5.820870,5.974720,4.460590,2365429
2000-05-17,5.641370,5.974720,5.641370,5.974720,4.460590,1080235
2000-05-18,5.974720,6.077290,5.769580,5.872150,4.384014,815051
2000-05-19,5.769580,5.795220,5.590080,5.692650,4.250003,717557
2000-05-22,5.769580,5.769580,5.564440,5.615720,4.192568,187189
2000-05-23,5.692650,5.692650,5.513150,5.564440,4.154284,347079
2000-05-24,5.513150,5.513150,5.256730,5.436230,4.058565,428974
2000-05-25,5.384940,5.384940,5.256730,5.359300,4.001132,265184
2000-05-26,5.359300,5.359300,5.256730,5.359300,4.001132,276887
2000-05-29,5.410580,5.436230,5.256730,5.359300,4.001132,327592
2000-05-30,5.359300,5.359300,5.359300,5.359300,4.001132,0
2000-05-31,5.154160,5.256730,5.128520,5.205450,3.886271,405575
2000-06-01,5.231090,5.359300,5.154160,5.231090,3.905414,312371
2000-06-02,5.359300,5.359300,5.256730,5.359300,4.001132,325435
2000-06-05,5.333650,5.410580,5.256730,5.308020,3.962847,206687
2000-06-06,5.308020,5.308020,5.308020,5.308020,3.962847,0
2000-06-07,5.256730,5.359300,5.154160,5.282370,3.943698,354878
2000-06-08,5.179800,5.231090,5.154160,5.179800,3.867121,230866
2000-06-09,5.179800,5.256730,5.179800,5.231090,3.905414,281177
2000-06-12,5.231090,5.231090,5.154160,5.154160,3.847979,206687
2000-06-13,5.154160,5.154160,4.897730,5.077230,3.790544,311981
2000-06-14,5.077230,5.077230,4.923370,5.051590,3.771401,237886
2000-06-15,5.051590,5.102870,5.000300,5.077230,3.790544,226221
2000-06-16,5.102870,5.102870,5.000300,5.051590,3.771401,198888
2000-06-19,5.025950,5.179800,5.025950,5.102870,3.809686,787752
2000-06-20,5.051590,5.102870,4.949020,5.025950,3.752260,635661
2000-06-21,4.974660,5.025950,4.974660,5.025950,3.752260,382177
2000-06-22,5.000300,5.051590,4.949020,5.025950,3.752260,421174
2000-06-23,4.974660,5.000300,4.897730,4.974660,3.713968,347079
2000-06-26,4.974660,5.179800,4.949020,4.949020,3.694826,585355
2000-06-27,4.974660,5.025950,4.949020,5.000300,3.733110,374377
2000-06-28,5.000300,5.000300,4.897730,4.923370,3.675676,245685
2000-06-29,5.025950,5.025950,4.897730,4.923370,3.675676,214499
2000-06-30,4.923370,4.923370,4.872090,4.897730,3.656534,397854
2000-07-03,4.897730,4.897730,4.897730,4.897730,3.656534,0
2000-07-04,4.897730,4.897730,4.897730,4.897730,3.656534,0
2000-07-05,4.897730,4.897730,4.897730,4.897730,3.656534,0
2000-07-06,4.897730,4.897730,4.897730,4.897730,3.656534,0
2000-07-07,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-10,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-11,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-12,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-13,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-14,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-17,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-18,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-19,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-20,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-21,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-24,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-25,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-26,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-27,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-28,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-07-31,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-01,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-02,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-03,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-04,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-07,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-08,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-09,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-10,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-11,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-14,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-15,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-16,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-17,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-18,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-21,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-22,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-23,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-24,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-25,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-28,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-29,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-30,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-08-31,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-01,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-04,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-05,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-06,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-07,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-08,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-11,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-12,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-13,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-14,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-15,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-18,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-19,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-20,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-21,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-22,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-25,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-26,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-27,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-28,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-09-29,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-02,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-03,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-04,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-05,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-06,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-09,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-10,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-11,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-12,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-13,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-16,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-17,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-18,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-19,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-20,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-23,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-24,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-25,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-26,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-27,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-30,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-10-31,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-01,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-02,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-03,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-06,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-07,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-08,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-09,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-10,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-13,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-14,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-15,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-16,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-17,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-20,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-21,5.926260,5.926260,5.926260,5.926260,4.424411,0
2000-11-22,null,null,null,null,null,null
2000-11-23,null,null,null,null,null,null
2000-11-24,null,null,null,null,null,null
2000-11-27,null,null,null,null,null,null
2000-11-28,null,null,null,null,null,null
2000-11-29,null,null,null,null,null,null
2000-11-30,null,null,null,null,null,null
2000-12-01,null,null,null,null,null,null
2000-12-04,null,null,null,null,null,null
2000-12-05,null,null,null,null,null,null
2000-12-06,null,null,null,null,null,null
2000-12-07,null,null,null,null,null,null
2000-12-08,null,null,null,null,null,null
2000-12-11,null,null,null,null,null,null
2000-12-12,null,null,null,null,null,null
2000-12-13,null,null,null,null,null,null
2000-12-14,null,null,null,null,null,null
2000-12-15,null,null,null,null,null,null
2000-12-18,null,null,null,null,null,null
2000-12-19,null,null,null,null,null,null
2000-12-20,null,null,null,null,null,null
2000-12-21,null,null,null,null,null,null
2000-12-22,null,null,null,null,null,null
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,null,null,null,null,null,null
2000-12-28,null,null,null,null,null,null
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,null,null,null,null,null,null
2001-01-03,null,null,null,null,null,null
2001-01-04,null,null,null,null,null,null
2001-01-05,null,null,null,null,null,null
2001-01-08,null,null,null,null,null,null
2001-01-09,null,null,null,null,null,null
2001-01-10,null,null,null,null,null,null
2001-01-11,null,null,null,null,null,null
2001-01-12,null,null,null,null,null,null
2001-01-15,null,null,null,null,null,null
2001-01-16,null,null,null,null,null,null
2001-01-17,null,null,null,null,null,null
2001-01-18,null,null,null,null,null,null
2001-01-19,null,null,null,null,null,null
2001-01-22,null,null,null,null,null,null
2001-01-23,null,null,null,null,null,null
2001-01-24,null,null,null,null,null,null
2001-01-25,null,null,null,null,null,null
