Date,Open,High,Low,Close,Adj Close,Volume
2011-12-13,17.396900,17.775101,17.121799,17.190599,11.616154,33459
2011-12-14,17.053101,17.053101,16.021700,16.399799,11.081787,12926
2011-12-15,16.159201,16.537399,15.712200,16.399799,11.081787,8180
2011-12-16,16.296700,16.915600,16.262300,16.846800,11.383839,5949
2011-12-19,16.812401,16.812401,15.849700,16.090401,10.872719,5071
2011-12-20,16.159201,17.190599,16.159201,16.984301,11.476751,11452
2011-12-21,17.465700,18.153299,17.328100,18.153299,12.266675,17384
2011-12-22,18.084499,18.290800,17.809500,18.050100,12.196942,6438
2011-12-23,18.222000,18.634600,18.050100,18.497101,12.498992,12117
2011-12-26,18.497101,19.769199,18.222000,18.840900,12.731306,21632
2011-12-27,18.840900,19.666000,18.703400,19.528500,13.195935,13157
2011-12-28,19.184700,19.631701,19.150299,19.562901,13.219180,7804
2011-12-29,19.425400,19.425400,19.081600,19.219101,12.986866,4162
2011-12-30,19.425400,19.459801,18.428301,18.909700,12.777798,7682
2012-01-02,null,null,null,null,null,null
2012-01-03,null,null,null,null,null,null
2012-01-04,null,null,null,null,null,null
2012-01-05,null,null,null,null,null,null
2012-01-06,19.837999,20.353701,19.734800,19.769199,13.358583,6522
2012-01-09,19.666000,19.769199,19.150299,19.253500,13.010111,5685
2012-01-10,19.253500,19.941099,19.184700,19.597300,13.242425,4171
2012-01-11,19.734800,20.938200,19.734800,20.938200,14.148507,12645
2012-01-12,21.144400,22.175900,20.697500,21.385099,14.450488,12545
2012-01-13,21.935200,22.210300,21.419500,21.522600,14.543403,9640
2012-01-16,21.935200,22.004000,21.110100,21.385099,14.450488,5435
2012-01-17,21.316401,22.863501,21.316401,22.863501,15.449484,12264
2012-01-18,22.794701,24.445000,22.622801,24.066900,16.262657,13756
2012-01-30,24.754499,25.751499,24.066900,24.410700,16.494970,13142
2012-01-31,24.479401,25.167000,23.723000,24.410700,16.494970,10827
2012-02-01,24.341900,24.582600,23.688700,24.341900,16.448481,9460
2012-02-02,24.754499,25.785900,24.410700,25.442101,17.191914,12892
2012-02-03,25.304600,25.304600,23.894899,24.754499,16.727283,10427
2012-02-06,25.304600,25.304600,24.513800,24.754499,16.727283,3442
2012-02-07,24.823200,25.923401,24.754499,25.854700,17.470722,7437
2012-02-08,26.129700,27.092400,25.785900,26.026600,17.586878,9803
2012-02-09,26.095301,26.095301,25.098301,25.682800,17.354561,5545
2012-02-10,25.717100,25.854700,25.029499,25.682800,17.354561,3050
2012-02-13,25.510900,26.095301,25.304600,25.785900,17.424231,4795
2012-02-14,26.129700,26.129700,25.235800,25.235800,17.052513,4072
2012-02-15,25.442101,26.817400,25.235800,26.473499,17.888859,16990
2012-02-16,26.129700,27.126801,25.442101,25.545200,17.261585,13849
2012-02-17,26.336000,26.611099,24.960800,25.510900,17.238407,10791
2012-02-20,25.785900,26.611099,25.648399,26.370399,17.819191,11060
2012-02-21,26.404800,26.611099,25.476500,25.476500,17.215160,12162
2012-02-22,25.579599,25.992201,25.442101,25.442101,17.191914,8830
2012-02-23,25.579599,25.717100,24.548201,24.754499,16.727283,10779
2012-02-24,25.029499,25.270201,24.445000,24.857599,16.796953,5129
2012-02-29,24.960800,26.301600,24.960800,26.129700,17.656544,13864
2012-03-01,26.404800,27.951900,26.061001,27.917500,18.864609,28485
2012-03-02,28.123800,29.395901,27.436199,29.327200,19.817181,24778
2012-03-05,29.086500,29.120899,28.398899,28.536400,19.282820,10887
2012-03-06,28.536400,28.948999,27.161200,28.811501,19.468708,13698
2012-03-07,28.055099,29.499100,27.848801,29.086500,19.654533,10722
2012-03-08,29.120899,29.224001,28.398899,28.880199,19.515133,5996
2012-03-09,29.017700,29.017700,27.986300,28.536400,19.282820,7671
2012-03-12,28.673901,28.811501,27.848801,27.883200,18.841431,3496
2012-03-13,28.055099,28.398899,27.298700,28.295700,19.120169,8393
2012-03-14,28.536400,30.255501,28.330099,30.049200,20.305056,15903
2012-03-15,30.049200,30.564899,29.567801,29.774099,20.119165,8625
2012-03-16,30.049200,30.049200,29.430300,29.911699,20.212143,7875
2012-03-19,29.911699,30.221100,29.499100,29.567801,19.979761,5314
2012-03-20,29.567801,29.945999,29.258400,29.361601,19.840427,5555
2012-03-21,29.224001,29.567801,28.261400,28.880199,19.515133,7549
2012-03-22,29.224001,30.049200,28.880199,29.911699,20.212143,12279
2012-03-23,29.774099,29.808500,29.567801,29.739700,20.095919,6291
2012-03-26,29.739700,29.911699,29.361601,29.395901,19.863604,3736
2012-03-27,29.671000,29.671000,28.673901,28.811501,19.468708,3931
2012-03-28,29.086500,29.533501,28.673901,29.155300,19.701023,3658
2012-03-29,29.361601,29.395901,27.883200,29.017700,19.608046,8128
2012-03-30,29.017700,29.086500,27.917500,29.086500,19.654533,6434
2012-04-02,28.880199,28.880199,27.883200,28.330099,19.143414,7334
2012-04-03,27.917500,28.261400,26.370399,26.679800,18.028263,20216
2012-04-05,25.167000,28.192600,25.167000,27.986300,18.911100,11612
2012-04-06,27.917500,28.261400,27.401800,28.055099,18.957590,5512
2012-04-09,27.504999,27.711300,27.195499,27.504999,18.585871,3945
2012-04-10,27.917500,28.330099,27.573700,28.020700,18.934345,4185
2012-04-11,27.539400,28.570801,27.539400,28.295700,19.120169,3739
2012-04-12,28.295700,29.911699,28.192600,29.430300,19.886850,8806
2012-04-13,29.774099,29.945999,29.395901,29.671000,20.049496,7804
2012-04-16,29.671000,29.705400,29.395901,29.395901,19.863604,2043
2012-04-17,29.464701,29.499100,27.848801,28.467600,19.236324,5535
2012-04-18,28.673901,28.811501,27.848801,28.226999,19.073746,2794
2012-04-19,28.467600,28.570801,27.780001,28.192600,19.050503,3144
2012-04-20,28.192600,28.398899,27.848801,28.158199,19.027258,3339
2012-04-23,27.917500,28.055099,26.886101,27.504999,18.585871,6195
2012-04-24,27.333099,27.780001,27.126801,27.711300,18.725275,2392
2012-04-25,28.123800,28.123800,27.711300,27.848801,18.818190,2341
2012-04-26,28.055099,29.395901,27.917500,28.811501,19.468708,7383
2012-04-27,29.086500,29.567801,28.742701,28.983400,19.584867,5340
2012-04-30,28.983400,29.602200,28.983400,29.430300,19.886850,4915
2012-05-02,29.430300,30.186701,29.258400,30.117901,20.351480,6032
2012-05-03,30.117901,31.046200,30.117901,30.736799,20.769688,9223
2012-05-04,30.736799,31.115000,30.461800,30.736799,20.769688,6310
2012-05-07,30.736799,30.840000,30.152300,30.530500,20.630285,3863
2012-05-08,30.736799,31.218100,30.736799,30.874300,20.862598,5987
2012-05-09,30.736799,30.943100,30.324200,30.943100,20.909088,2831
2012-05-10,30.943100,30.943100,29.911699,30.393000,20.537371,4991
2012-05-11,30.530500,30.633699,29.911699,30.083599,20.328302,2176
2012-05-14,30.289900,31.011900,30.289900,30.908701,20.885843,4581
2012-05-15,30.393000,30.667999,30.083599,30.530500,20.630285,4171
2012-05-16,30.943100,30.943100,30.152300,30.152300,20.374723,4091
2012-05-17,30.530500,30.530500,29.636600,29.980400,20.258568,5835
2012-05-18,29.636600,30.393000,29.292801,29.636600,20.026253,5875
2012-05-21,29.636600,30.221100,29.636600,29.911699,20.212143,4776
2012-05-22,30.393000,31.699499,30.186701,31.630699,21.373720,10576
2012-05-23,31.218100,31.733900,30.667999,31.286900,21.141403,5664
2012-05-24,31.286900,33.006001,31.286900,31.974501,21.606035,15507
2012-05-25,32.112000,32.352699,31.321301,31.630699,21.373720,7328130
2012-05-28,31.493200,31.974501,30.977501,31.940100,21.582788,8622442
