Date,Open,High,Low,Close,Adj Close,Volume
2019-06-04,9.690000,9.740000,9.670000,9.700000,9.494419,3250491
2019-06-05,9.690000,9.750000,9.690000,9.700000,9.494419,3610660
2019-06-06,9.700000,9.790000,9.700000,9.790000,9.582512,7028598
2019-06-10,9.800000,9.830000,9.730000,9.740000,9.533571,5439585
2019-06-11,9.750000,9.850000,9.750000,9.850000,9.641241,7215686
2019-06-12,9.860000,9.870000,9.810000,9.830000,9.621664,6268534
2019-06-13,9.830000,9.900000,9.820000,9.860000,9.651029,5929166
2019-06-14,9.840000,9.840000,9.700000,9.700000,9.494419,8002744
2019-06-17,9.700000,9.830000,9.700000,9.830000,9.621664,7262188
2019-06-18,9.830000,9.860000,9.750000,9.800000,9.592300,7404749
2019-06-19,9.850000,9.900000,9.810000,9.890000,9.680393,9948753
2019-06-20,9.920000,10.200000,9.900000,10.200000,9.983823,19806697
2019-06-21,10.350000,10.350000,10.100000,10.300000,10.081703,31681350
2019-06-24,10.300000,10.300000,10.100000,10.150000,9.934882,12845282
2019-06-25,10.150000,10.200000,9.920000,10.000000,9.788061,13708486
2019-06-26,9.980000,10.050000,9.860000,9.930000,9.719545,9756903
2019-06-27,9.960000,10.000000,9.910000,9.960000,9.748909,9712505
2019-06-28,9.950000,9.950000,9.750000,9.840000,9.631453,8396016
2019-07-01,9.810000,9.870000,9.750000,9.750000,9.543360,8845814
2019-07-02,9.750000,9.800000,9.680000,9.690000,9.484632,8941591
2019-07-03,9.750000,9.790000,9.710000,9.730000,9.523784,4670465
2019-07-04,9.790000,9.810000,9.750000,9.790000,9.582512,5284604
2019-07-05,9.800000,9.880000,9.800000,9.870000,9.660816,5461214
2019-07-08,9.880000,9.920000,9.750000,9.850000,9.641241,7816306
2019-07-09,9.850000,9.860000,9.810000,9.810000,9.602089,5751496
2019-07-10,9.810000,9.880000,9.780000,9.860000,9.651029,5393444
2019-07-11,9.880000,9.890000,9.860000,9.860000,9.651029,3835351
2019-07-12,9.860000,9.880000,9.820000,9.870000,9.660816,4196111
2019-07-15,9.870000,9.930000,9.780000,9.910000,9.699968,6323766
2019-07-16,9.910000,9.910000,9.860000,9.860000,9.651029,4069968
2019-07-17,9.900000,9.900000,9.830000,9.830000,9.621664,5558642
2019-07-18,9.860000,9.870000,9.760000,9.760000,9.553148,6530776
2019-07-19,9.800000,9.870000,9.770000,9.840000,9.631453,6007285
2019-07-22,9.840000,9.930000,9.840000,9.890000,9.680393,7812138
2019-07-23,9.690000,9.700000,9.650000,9.650000,9.650000,6261455
2019-07-24,9.600000,9.640000,9.560000,9.600000,9.600000,6223907
2019-07-25,9.560000,9.600000,9.500000,9.590000,9.590000,7746978
2019-07-26,9.590000,9.590000,9.480000,9.500000,9.500000,8091411
2019-07-29,9.460000,9.510000,9.430000,9.450000,9.450000,6263652
2019-07-30,9.470000,9.520000,9.450000,9.450000,9.450000,4944945
2019-07-31,9.470000,9.580000,9.420000,9.560000,9.560000,5356478
2019-08-01,9.440000,9.440000,9.350000,9.390000,9.390000,11849085
2019-08-02,9.320000,9.350000,9.270000,9.270000,9.270000,9811260
2019-08-05,9.250000,9.400000,9.200000,9.330000,9.330000,9003793
2019-08-06,9.200000,9.240000,9.160000,9.200000,9.200000,7814817
2019-08-07,9.200000,9.260000,9.190000,9.240000,9.240000,5305715
2019-08-08,9.240000,9.270000,9.180000,9.230000,9.230000,6549863
2019-08-12,9.200000,9.250000,9.170000,9.190000,9.190000,4968861
2019-08-13,9.190000,9.200000,9.100000,9.100000,9.100000,8344272
2019-08-14,9.130000,9.150000,9.100000,9.100000,9.100000,5838755
2019-08-15,9.090000,9.140000,9.020000,9.040000,9.040000,7578932
2019-08-16,9.050000,9.410000,9.040000,9.350000,9.350000,15100016
2019-08-19,9.350000,9.380000,9.180000,9.300000,9.300000,9897893
2019-08-20,9.260000,9.260000,9.190000,9.200000,9.200000,6611285
2019-08-21,9.200000,9.220000,9.160000,9.220000,9.220000,3957811
2019-08-22,9.290000,9.290000,9.150000,9.150000,9.150000,4054348
2019-08-23,9.150000,9.200000,9.150000,9.200000,9.200000,2292753
2019-08-26,9.120000,9.130000,9.080000,9.090000,9.090000,6699356
2019-08-27,9.110000,9.180000,9.080000,9.180000,9.180000,13015367
2019-08-28,9.170000,9.170000,9.100000,9.150000,9.150000,4744763
2019-08-29,9.110000,9.150000,9.060000,9.090000,9.090000,10818356
2019-08-30,9.170000,9.240000,9.100000,9.240000,9.240000,7081889
2019-09-02,9.240000,9.240000,9.180000,9.230000,9.230000,1889257
2019-09-03,9.220000,9.230000,9.160000,9.200000,9.200000,3696777
2019-09-04,9.190000,9.240000,9.160000,9.210000,9.210000,5805714
2019-09-05,9.230000,9.230000,9.190000,9.220000,9.220000,4950625
2019-09-06,9.230000,9.260000,9.190000,9.230000,9.230000,5013328
2019-09-10,9.250000,9.260000,9.190000,9.210000,9.210000,5455305
2019-09-11,9.210000,9.250000,9.160000,9.160000,9.160000,4811661
2019-09-12,9.200000,9.280000,9.200000,9.210000,9.210000,6165763
2019-09-16,9.200000,9.210000,9.110000,9.120000,9.120000,9733331
2019-09-17,9.100000,9.150000,9.090000,9.110000,9.110000,5759140
2019-09-18,9.130000,9.240000,9.130000,9.240000,9.240000,8503332
2019-09-19,9.240000,9.300000,9.180000,9.180000,9.180000,4736241
2019-09-20,9.190000,9.210000,9.160000,9.210000,9.210000,6373418
2019-09-23,9.250000,9.250000,9.210000,9.210000,9.210000,3510886
2019-09-24,9.210000,9.220000,9.140000,9.150000,9.150000,4795768
2019-09-25,9.170000,9.180000,9.090000,9.100000,9.100000,12134604
2019-09-26,9.160000,9.160000,9.060000,9.090000,9.090000,6472867
2019-09-27,9.100000,9.130000,9.080000,9.080000,9.080000,5123461
2019-10-01,9.100000,9.150000,9.080000,9.100000,9.100000,4415748
2019-10-02,9.110000,9.120000,9.070000,9.110000,9.110000,2304188
2019-10-03,9.070000,9.100000,9.050000,9.070000,9.070000,5272556
2019-10-04,9.070000,9.100000,9.030000,9.070000,9.070000,12907035
2019-10-07,9.070000,9.130000,9.070000,9.100000,9.100000,2601879
2019-10-08,9.100000,9.140000,9.100000,9.110000,9.110000,3815649
2019-10-09,9.110000,9.130000,9.060000,9.060000,9.060000,4646509
2019-10-14,9.120000,9.140000,9.050000,9.060000,9.060000,11371886
2019-10-15,9.080000,9.100000,9.030000,9.060000,9.060000,6072160
2019-10-16,9.060000,9.160000,9.060000,9.160000,9.160000,8720416
2019-10-17,9.160000,9.200000,9.140000,9.180000,9.180000,7338329
2019-10-18,9.180000,9.190000,9.110000,9.190000,9.190000,7579086
2019-10-21,9.190000,9.210000,9.150000,9.200000,9.200000,4920178
2019-10-22,9.210000,9.240000,9.180000,9.220000,9.220000,6449321
2019-10-23,9.230000,9.230000,9.130000,9.130000,9.130000,4529988
2019-10-24,9.130000,9.170000,9.120000,9.130000,9.130000,5275840
2019-10-25,9.150000,9.170000,9.080000,9.130000,9.130000,8672322
2019-10-28,9.150000,9.150000,9.070000,9.090000,9.090000,7552294
2019-10-29,9.100000,9.120000,9.040000,9.070000,9.070000,12880667
2019-10-30,9.080000,9.100000,9.050000,9.100000,9.100000,5837585
