AAL
AAPL
ABNB
AMC
AMD
AMZN
ARKF
ARKG
ARKK
ARKQ
ARKW
DAI
DAL
DASH
DIA
FB
GBTC
GOOGL
IFNNY
LI
LUV
NIO
NNDM
NVDA
PDD
PLTR
QCOM
QQQ
QQQ
QS
SNOW
SPY
SPY
TSLA
TSM
TWLO
UAL
VTI
VTI
XPEV
