Date,Open,High,Low,Close,Adj Close,Volume
1993-01-04,0.365400,0.372310,0.343910,0.346980,0.033452,168472141003
1993-01-11,0.346210,0.379220,0.346210,0.368470,0.035523,152318953801
1993-01-18,0.366940,0.374610,0.364630,0.368470,0.035523,74029405606
1993-01-25,0.368470,0.375380,0.360800,0.367700,0.035449,156360246758
1993-02-01,0.378450,0.399180,0.372310,0.395340,0.038114,454815391692
1993-02-08,0.383830,0.395340,0.372310,0.383060,0.036930,318852907741
1993-02-15,0.368470,0.370010,0.356960,0.365400,0.035227,233479405352
1993-02-22,0.365400,0.371540,0.360800,0.367700,0.035449,321683037327
1993-03-01,0.387660,0.433720,0.381520,0.414530,0.039964,841850446675
1993-03-08,0.437560,0.441400,0.403020,0.441400,0.042554,512179593142
1993-03-15,0.410690,0.422210,0.403020,0.406850,0.039223,214879726761
1993-03-22,0.414530,0.437560,0.414530,0.422210,0.040704,328078527050
1993-03-29,0.422210,0.445240,0.422210,0.445240,0.042925,344588777849
1993-04-05,0.445240,0.452910,0.418370,0.418370,0.040334,170886781955
1993-04-12,0.403020,0.410690,0.382290,0.382290,0.036856,237522717457
1993-04-19,0.380750,0.414530,0.379220,0.406850,0.039223,325291320652
1993-04-26,0.399180,0.414530,0.387660,0.399180,0.038484,174193560830
1993-05-03,0.387660,0.395340,0.376920,0.387660,0.037373,135251027241
1993-05-10,0.387660,0.395340,0.379990,0.379990,0.036634,149601375456
1993-05-17,0.378450,0.378450,0.360800,0.361560,0.034857,74723406451
1993-05-24,0.361560,0.364630,0.355420,0.363870,0.035080,64190551389
1993-05-31,0.361560,0.376150,0.355420,0.372310,0.035894,71777468935
1993-06-07,0.368470,0.375380,0.357730,0.359260,0.034635,60467306873
1993-06-14,0.362330,0.371540,0.356960,0.368470,0.035523,66466001369
1993-06-21,0.361560,0.374610,0.360030,0.366170,0.035302,69940174160
1993-06-28,0.364630,0.364630,0.345440,0.347750,0.033526,69604344187
1993-07-05,0.347750,0.350820,0.337770,0.346210,0.033377,55638285505
1993-07-12,0.347750,0.351580,0.333930,0.333930,0.032193,46502616002
1993-07-19,0.337000,0.340840,0.325480,0.337770,0.032564,41356783737
1993-07-26,0.345440,0.347750,0.341600,0.341600,-0.040693,49536484174
1993-08-02,0.336230,0.360030,0.336230,0.354650,-0.042248,105362876149
1993-08-09,0.356190,0.368470,0.356190,0.361560,-0.043071,181175450329
